회사 이름,기업 형태,산업(업종),평균 연봉
삼덕회계법인,"중소기업,유한회사,법인사업체",기관·협회                                (회계법인)                            ,"5,490"
삼성생명보험,"코스피,대기업, 1000대기업,주식회사,법인사업체",은행·금융업                                (생명보험)                            ,"10,574"
삼성중공업,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (조선)                            ,"7,500"
삼일회계법인,"중견기업,법인사업체",기관·협회                                (회계법인)                            ,"6,759"
서울검사,"주식회사,법인사업체",기관·협회                                (연구소)                            ,"4,119"
서울대학교병원,"기타,공사/공기업,비영리법인",의료·제약·복지                                (종합병원)                            ,"4,481"
서울반도체,"코스닥,중견기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (반도체)                            ,"5,437"
서진산업(주),"외부감사법인,법인사업체",건설업                                (토목회사)                            ,"5,433"
솔브레인에스엘디,"중견기업,주식회사,법인사업체", ,"4,587"
슈나이더일렉트릭코리아,"외국인 투자기업,외부감사법인,수출입 기업,법인사업체", ,"6,783"
스위스포트코리아,"중소기업,외국인 투자기업,주식회사,법인사업체",판매·유통                                (항공운송)                            ,"3,451"
시그네틱스,"코스닥,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체", ,"4,433"
신우산업관리(주),"중소기업,주식회사,법인사업체",서비스업                                                            ,"3,262"
신한라이프생명보험,"대기업, 1000대기업,외부감사법인,법인사업체",은행·금융업                                (생명보험)                            ,"7,351"
